Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Departure Delay in Minutes,Arrival Delay in Minutes,Seat Comfort,Departure/Arrival Time Convenient,Food and Drink,Gate Location,Inflight Wifi Service,Inflight Entertainment,Online Support,Ease of Online Booking,On-board Service,Leg Room Service,Baggage Handling,Check-in Service,Cleanliness,Online Boarding,Satisfaction
Male,Loyal,37,Business,Business,418,0.0,0.0,3,3,3,3,1,4,2,4,4,5,4,5,4,2,Satisfied
Male,Loyal,55,Business,Business,2381,5.0,1.0,5,5,5,5,4,5,4,4,4,4,4,5,4,4,Satisfied
Female,Loyal,37,Business,Eco,1094,0.0,0.0,4,2,2,2,4,4,4,4,2,4,2,2,1,4,Satisfied
Male,Loyal,43,Business,Business,302,62.0,38.0,1,1,1,1,3,4,4,5,5,5,5,5,5,5,Satisfied
Male,Loyal,23,Business,Business,5040,1.0,0.0,5,5,5,5,4,4,4,4,5,4,5,4,4,4,Satisfied
Female,Disloyal,26,Business,Eco,1863,51.0,54.0,4,2,4,2,1,4,4,1,1,5,2,1,1,1,Dissatisfied
Male,Loyal,65,Personal,Eco,1745,8.0,11.0,2,4,2,2,5,2,5,5,5,3,5,3,4,5,Dissatisfied
Male,Loyal,56,Business,Business,1860,0.0,0.0,4,4,4,4,3,5,5,5,5,5,5,5,5,4,Satisfied
Male,Loyal,47,Business,Business,1416,2.0,0.0,5,5,2,5,5,5,4,4,4,4,4,4,4,4,Satisfied
Female,Loyal,40,Personal,Eco,2654,0.0,9.0,4,4,4,3,1,4,1,1,4,2,4,5,5,1,Dissatisfied
Male,Loyal,66,Business,Eco,2284,7.0,0.0,4,2,2,2,4,4,4,4,2,2,1,2,1,4,Satisfied
Male,Loyal,20,Personal,Eco,1528,3.0,4.0,2,5,2,2,2,2,2,2,5,3,4,5,4,2,Dissatisfied
Female,Loyal,8,Personal,Eco,1147,0.0,0.0,3,3,3,3,4,5,5,5,5,5,5,3,5,3,Satisfied
Male,Loyal,27,Business,Business,4102,10.0,0.0,3,5,4,5,3,3,3,3,1,5,3,2,4,3,Dissatisfied
Male,Loyal,56,Personal,Eco,3881,23.0,34.0,3,1,3,1,2,3,2,2,2,4,2,4,1,2,Dissatisfied
Male,Loyal,51,Business,Business,1692,39.0,16.0,4,4,4,4,5,3,5,5,5,5,5,5,5,5,Satisfied
