Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes,Satisfaction
Male,Loyal Customer,8,Personal Travel,Eco,2359,0,5,0,3,2,0,2,2,3,2,4,3,4,2,4.0,2.0,satisfied
Male,Loyal Customer,32,Business travel,Business,1843,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1.0,4.0,neutral or dissatisfied
Male,disloyal Customer,25,Business travel,Business,1578,4,0,4,2,4,4,4,4,5,4,4,3,4,4,2.0,0.0,satisfied
Male,Loyal Customer,52,Business travel,Business,384,3,5,4,4,4,4,3,3,3,3,3,3,3,4,15.0,12.0,neutral or dissatisfied
Male,disloyal Customer,47,Business travel,Business,1927,4,4,4,3,5,4,5,5,5,5,5,4,4,5,0.0,0.0,satisfied
Male,Loyal Customer,45,Business travel,Eco,1441,2,2,2,2,1,2,1,1,4,3,4,3,4,1,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,22,Business travel,Eco Plus,2513,4,3,3,3,4,5,4,4,4,5,1,3,4,4,0.0,0.0,satisfied
Male,disloyal Customer,43,Business travel,Business,2095,3,3,3,3,3,3,3,3,5,4,5,5,4,3,0.0,3.0,satisfied
Male,Loyal Customer,66,Personal Travel,Eco,1442,3,5,3,4,2,3,2,2,5,1,4,4,1,2,34.0,26.0,neutral or dissatisfied
Female,disloyal Customer,36,Business travel,Eco,1528,2,4,2,3,5,2,5,5,2,2,3,3,4,5,0.0,6.0,neutral or dissatisfied
Female,Loyal Customer,54,Business travel,Business,236,2,2,2,2,5,5,5,5,5,5,5,3,5,4,5.0,0.0,satisfied
Male,Loyal Customer,55,Business travel,Business,3218,4,4,4,4,5,5,5,4,4,4,4,3,4,4,32.0,32.0,satisfied
Male,Loyal Customer,20,Business travel,Business,3684,2,1,1,1,2,2,2,2,2,4,3,2,3,2,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,53,Business travel,Eco,1453,3,5,5,5,3,3,3,3,2,4,4,4,4,3,0.0,8.0,neutral or dissatisfied
Female,disloyal Customer,21,Business travel,Eco,1873,3,4,4,2,3,4,3,3,1,5,1,4,5,3,4.0,11.0,neutral or dissatisfied
Male,Loyal Customer,16,Business travel,Business,3187,3,1,1,1,3,3,3,3,4,2,4,3,3,3,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,48,Business travel,Eco,652,2,1,1,1,3,3,2,2,2,2,2,2,2,4,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,30,Personal Travel,Eco,1710,1,1,1,1,5,5,5,5,5,5,5,5,5,5,1.0,0.0,satisfied
Male,Loyal Customer,56,Business travel,Eco Plus,3838,1,5,5,5,1,1,1,1,3,2,3,4,4,1,101.0,92.0,neutral or dissatisfied
Male,Loyal Customer,54,Personal Travel,Eco,1930,1,5,1,4,2,1,2,2,5,3,5,5,5,2,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,40,Business travel,Business,1853,2,2,2,2,2,3,5,5,5,5,5,4,5,3,30.0,13.0,satisfied
Male,Loyal Customer,29,Business travel,Eco Plus,3248,2,3,3,3,2,2,2,2,3,1,2,4,2,2,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,54,Business travel,Business,4002,4,4,4,4,5,4,4,5,5,5,5,4,5,3,6.0,0.0,satisfied
Female,Loyal Customer,29,Business travel,Business,1256,3,3,4,3,4,4,4,4,4,4,5,4,5,4,0.0,0.0,satisfied
Male,disloyal Customer,33,Business travel,Eco,1445,3,2,3,4,1,3,1,1,2,5,4,1,4,1,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,31,Business travel,Eco Plus,1758,3,4,4,4,3,3,3,3,2,2,4,3,3,3,0.0,3.0,neutral or dissatisfied
Male,Loyal Customer,35,Personal Travel,Eco,1853,2,5,2,2,1,2,1,1,3,2,4,3,4,1,0.0,0.0,neutral or dissatisfied
Female,disloyal Customer,22,Business travel,Eco,2122,3,0,3,4,2,3,2,2,4,5,2,5,4,2,0.0,2.0,neutral or dissatisfied
Male,Loyal Customer,38,Business travel,Business,3405,5,5,5,5,5,4,5,5,5,5,5,3,5,4,0.0,4.0,satisfied
Male,disloyal Customer,38,Business travel,Business,1487,3,3,3,4,4,3,4,4,3,3,5,5,5,4,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,46,Business travel,Business,2420,5,2,5,5,2,4,5,5,5,5,5,5,5,3,1.0,6.0,satisfied
Female,Loyal Customer,30,Business travel,Eco,1477,5,5,3,5,5,5,5,5,3,3,3,1,5,5,0.0,0.0,satisfied
Male,Loyal Customer,47,Business travel,Business,685,4,4,4,4,3,5,5,5,5,5,5,5,5,3,0.0,0.0,satisfied
Male,Loyal Customer,17,Business travel,Business,4767,2,5,5,5,2,2,2,2,3,4,4,4,3,2,8.0,107.0,neutral or dissatisfied
Female,Loyal Customer,57,Business travel,Business,1033,3,2,4,2,5,3,3,3,3,3,3,4,3,1,0.0,9.0,neutral or dissatisfied
Female,Loyal Customer,48,Business travel,Business,2927,5,5,5,5,2,5,5,4,4,4,4,3,4,4,0.0,0.0,satisfied
Female,disloyal Customer,42,Business travel,Business,1256,5,5,5,2,4,5,4,4,4,5,4,3,4,4,0.0,0.0,satisfied
Male,Loyal Customer,7,Personal Travel,Eco,3632,3,2,3,3,4,3,1,4,1,3,4,4,3,4,11.0,12.0,neutral or dissatisfied
Female,Loyal Customer,23,Personal Travel,Eco,1996,2,2,2,2,2,4,5,5,5,5,5,3,5,5,0.0,0.0,satisfied
Male,Loyal Customer,38,Business travel,Business,879,5,5,5,5,3,5,5,4,4,4,4,4,4,5,0.0,0.0,satisfied
Male,Loyal Customer,59,Business travel,Eco Plus,1813,5,1,1,1,5,5,5,5,4,2,1,2,2,5,97.0,82.0,satisfied
Female,Loyal Customer,47,Business travel,Business,2369,1,5,5,5,3,2,2,1,1,1,1,4,1,1,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,41,Personal Travel,Eco Plus,2537,1,5,1,3,5,1,1,5,5,5,5,5,4,5,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,28,Personal Travel,Eco,1973,1,5,1,1,3,1,3,3,5,2,5,3,4,3,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,46,Personal Travel,Eco,3059,1,5,1,2,2,1,2,2,3,5,4,5,4,2,21.0,14.0,neutral or dissatisfied
Male,Loyal Customer,35,Business travel,Business,3289,1,5,1,1,3,5,1,4,4,4,4,4,4,5,0.0,0.0,satisfied
Female,Loyal Customer,31,Business travel,Business,3368,4,1,1,1,1,1,4,1,3,2,4,2,4,1,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,53,Business travel,Eco,2074,5,1,5,1,5,5,5,5,4,4,3,4,4,5,118.0,103.0,satisfied
Male,disloyal Customer,26,Business travel,Eco,1665,2,2,2,3,3,2,3,3,3,3,3,1,4,3,36.0,18.0,neutral or dissatisfied
Female,disloyal Customer,26,Business travel,Business,1489,0,0,0,2,2,2,2,2,4,5,4,5,5,2,0.0,0.0,satisfied
Male,Loyal Customer,13,Personal Travel,Eco,1688,2,4,2,3,1,2,1,1,3,3,5,5,5,1,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,47,Business travel,Business,1938,4,2,2,2,2,3,3,4,4,4,4,4,4,3,1.0,12.0,neutral or dissatisfied
Female,Loyal Customer,31,Business travel,Business,2858,5,5,5,5,4,4,4,4,3,3,4,3,5,4,0.0,0.0,satisfied
Male,disloyal Customer,28,Business travel,Business,1024,4,4,4,3,5,4,5,5,3,5,4,5,5,5,12.0,0.0,neutral or dissatisfied
Male,Loyal Customer,42,Business travel,Business,2489,5,5,5,5,5,5,5,5,2,3,5,5,5,5,0.0,11.0,satisfied
Female,Loyal Customer,53,Business travel,Business,1128,4,4,4,4,3,5,5,4,4,4,4,3,4,5,16.0,4.0,satisfied
Female,Loyal Customer,33,Business travel,Eco Plus,1742,1,3,3,3,1,1,1,1,1,2,3,2,3,1,0.0,0.0,neutral or dissatisfied
Female,disloyal Customer,27,Business travel,Eco,2615,1,1,1,1,1,1,1,1,3,5,3,3,5,1,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,48,Business travel,Business,3256,2,2,2,2,2,4,5,5,5,5,5,3,5,5,53.0,51.0,satisfied
Female,Loyal Customer,56,Business travel,Business,2669,1,1,5,1,1,2,3,3,3,4,1,1,3,4,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,34,Business travel,Business,417,3,3,3,3,4,4,1,4,4,4,4,5,4,3,0.0,0.0,satisfied
Male,Loyal Customer,18,Personal Travel,Eco,1633,5,4,5,1,2,5,2,2,5,5,4,5,5,2,0.0,0.0,satisfied
Female,disloyal Customer,41,Business travel,Business,1276,2,2,2,4,2,2,2,2,1,3,3,1,3,2,32.0,33.0,neutral or dissatisfied
Female,disloyal Customer,13,Business travel,Eco,2337,1,1,1,1,5,1,5,5,4,3,5,4,5,5,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,43,Business travel,Business,3043,1,1,1,1,2,4,4,5,5,4,5,5,5,5,1.0,4.0,satisfied
Female,Loyal Customer,8,Business travel,Business,3655,2,3,3,3,2,2,2,2,2,2,4,2,2,2,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,50,Business travel,Business,2399,1,1,1,1,5,4,5,4,4,4,4,4,4,5,0.0,2.0,satisfied
Female,Loyal Customer,41,Personal Travel,Business,345,5,5,5,1,1,5,1,1,3,4,5,4,4,1,2.0,0.0,satisfied
Female,Loyal Customer,36,Business travel,Eco,1258,3,2,2,2,3,3,3,3,2,1,3,2,3,3,32.0,33.0,neutral or dissatisfied
Male,Loyal Customer,61,Personal Travel,Eco,2338,4,4,4,4,3,4,3,3,4,2,4,5,5,3,0.0,0.0,satisfied
Female,disloyal Customer,25,Business travel,Business,1805,2,0,1,5,3,1,3,3,5,3,5,4,4,3,0.0,0.0,neutral or dissatisfied
Male,Loyal Customer,68,Personal Travel,Eco,1850,3,5,3,4,4,3,5,4,3,3,5,4,5,4,9.0,0.0,neutral or dissatisfied
Female,disloyal Customer,62,Business travel,Eco,2394,3,3,3,4,3,3,3,3,3,3,4,1,3,3,5.0,0.0,neutral or dissatisfied
Male,disloyal Customer,20,Business travel,Eco,1745,4,2,4,4,1,4,1,1,1,2,3,2,3,1,1.0,5.0,neutral or dissatisfied
Male,Loyal Customer,41,Business travel,Business,2659,3,3,4,3,3,3,1,5,5,5,5,2,5,1,0.0,0.0,satisfied
Male,Loyal Customer,37,Business travel,Eco,2400,4,4,4,4,4,4,4,4,2,5,5,3,3,4,13.0,6.0,satisfied
Female,disloyal Customer,20,Business travel,Eco,1966,2,0,2,1,3,2,5,3,5,5,5,3,4,3,0.0,0.0,neutral or dissatisfied
Female,Loyal Customer,57,Personal Travel,Eco,1263,5,5,5,5,5,3,3,4,4,4,4,2,4,4,29.0,22.0,satisfied
Female,Loyal Customer,18,Business travel,Business,4976,1,1,1,1,4,4,4,4,5,4,4,5,1,4,0.0,0.0,satisfied
Male,Loyal Customer,25,Business travel,Business,3819,1,3,1,1,4,4,4,4,5,4,4,5,5,4,23.0,24.0,satisfied
Male,Loyal Customer,58,Personal Travel,Eco,2441,3,4,3,4,5,3,5,5,1,4,4,1,4,5,16.0,17.0,neutral or dissatisfied
Male,Loyal Customer,55,Business travel,Eco,3070,2,1,1,1,2,2,2,2,1,5,2,4,1,2,0.0,0.0,neutral or dissatisfied
Male,disloyal Customer,23,Business travel,Business,1541,0,3,0,4,2,0,1,2,5,2,5,4,5,2,0.0,0.0,satisfied
Male,Loyal Customer,16,Personal Travel,Business,1144,4,4,4,1,5,4,5,5,3,2,4,3,5,5,81.0,90.0,neutral or dissatisfied
Female,disloyal Customer,54,Business travel,Eco Plus,1321,4,4,4,2,1,4,1,1,3,3,1,4,1,1,0.0,3.0,neutral or dissatisfied
Male,Loyal Customer,37,Personal Travel,Eco Plus,1390,2,5,4,3,4,4,2,4,4,5,4,3,4,4,0.0,0.0,neutral or dissatisfied
